STATE,FIP,deaths,pop,fat_rate,Year
Wyoming,56,96,559851,17.15,2009
Alabama,01,820,4718206,17.38,2008
Alaska,02,142,687455,20.66,2008
Arizona,04,907,6280362,14.44,2008
Arkansas,05,444,2874554,15.45,2008
California,06,3171,36604337,8.66,2008
Colorado,08,513,4889730,10.49,2008
Connecticut,09,200,3545579,5.64,2008
Delaware,10,95,883874,10.75,2008
District of Columbia,11,137,580236,23.61,2008
Florida,12,2334,18527305,12.6,2008
Georgia,13,1177,9504843,12.38,2008
Hawaii,15,41,1332213,3.08,2008
Idaho,16,175,1534320,11.41,2008
Illinois,17,1105,12747038,8.67,2008
Indiana,18,723,6424806,11.25,2008
Iowa,19,224,3016734,7.43,2008
Kansas,20,277,2808076,9.86,2008
Kentucky,21,576,4289878,13.43,2008
Louisiana,22,822,4435586,18.53,2008
Maine,23,122,1330509,9.17,2008
Maryland,24,665,5684965,11.7,2008
Massachusetts,25,224,6468967,3.46,2008
Michigan,26,1081,9946889,10.87,2008
Minnesota,27,371,5247018,7.07,2008
Mississippi,28,568,2947806,19.27,2008
Missouri,29,818,5923916,13.81,2008
Montana,30,155,976415,15.87,2008
Nebraska,31,150,1796378,8.35,2008
Nevada,32,404,2653630,15.22,2008
New Hampshire,33,93,1315906,7.07,2008
New Jersey,34,429,8711090,4.92,2008
New Mexico,35,294,2010662,14.62,2008
New York,36,963,19212436,5.01,2008
North Carolina,37,1160,9309449,12.46,2008
North Dakota,38,59,657569,8.97,2008
Ohio,39,1115,11515391,9.68,2008
Oklahoma,40,513,3668976,13.98,2008
Oregon,41,385,3768748,10.22,2008
Pennsylvania,42,1345,12612285,10.66,2008
Rhode Island,44,44,1055003,4.17,2008
South Carolina,45,615,4528996,13.58,2008
South Dakota,46,83,799124,10.39,2008
Tennessee,47,985,6247411,15.77,2008
Texas,48,2598,24309039,10.69,2008
Utah,49,238,2663029,8.94,2008
Vermont,50,54,624151,8.65,2008
Virginia,51,817,7833496,10.43,2008
Washington,53,587,6562231,8.95,2008
West Virginia,54,239,1840310,12.99,2008
Wisconsin,55,443,5640996,7.85,2008
Wyoming,56,93,546043,17.03,2008
Alabama,01,812,4672840,17.38,2007
Alaska,02,120,680300,17.64,2007
Arizona,04,951,6167681,15.42,2007
Arkansas,05,426,2848650,14.95,2007
California,06,3268,36250311,9.02,2007
Colorado,08,505,4803868,10.51,2007
Connecticut,09,149,3527270,4.22,2007
Delaware,10,79,871749,9.06,2007
District of Columbia,11,144,574404,25.07,2007
Florida,12,2272,18367842,12.37,2007
Georgia,13,1244,9349988,13.3,2007
Hawaii,15,36,1315675,2.74,2007
Idaho,16,187,1505105,12.42,2007
Illinois,17,1032,12695866,8.13,2007
Indiana,18,670,6379599,10.5,2007
Iowa,19,157,2999212,5.23,2007
Kansas,20,292,2783785,10.49,2007
Kentucky,21,612,4256672,14.38,2007
Louisiana,22,869,4375581,19.86,2007
Maine,23,107,1327040,8.06,2007
Maryland,24,678,5653408,11.99,2007
Massachusetts,25,235,6431559,3.65,2007
Michigan,26,1095,10001284,10.95,2007
Minnesota,27,344,5207203,6.61,2007
Mississippi,28,535,2928350,18.27,2007
Missouri,29,759,5887612,12.89,2007
Montana,30,139,964706,14.41,2007
Nebraska,31,142,1783440,7.96,2007
Nevada,32,414,2601072,15.92,2007
New Hampshire,33,78,1312540,5.94,2007
New Jersey,34,446,8677885,5.14,2007
New Mexico,35,295,1990070,14.82,2007
New York,36,985,19132335,5.15,2007
North Carolina,37,1116,9118037,12.24,2007
North Dakota,38,57,652822,8.73,2007
Ohio,39,1105,11500468,9.61,2007
Oklahoma,40,482,3634349,13.26,2007
Oregon,41,387,3722417,10.4,2007
Pennsylvania,42,1325,12563937,10.55,2007
Rhode Island,44,37,1057315,3.5,2007
South Carolina,45,592,4444110,13.32,2007
South Dakota,46,52,791623,6.57,2007
Tennessee,47,924,6175727,14.96,2007
Texas,48,2561,23831983,10.75,2007
Utah,49,253,2597746,9.74,2007
Vermont,50,52,623481,8.34,2007
Virginia,51,825,7751000,10.64,2007
Washington,53,548,6461587,8.48,2007
West Virginia,54,267,1834052,14.56,2007
Wisconsin,55,488,5610775,8.7,2007
Wyoming,56,76,534876,14.21,2007
